sepal_length,sepal_width,petal_length,petal_width,species
5.39,3.83,1.52,-0.03,setosa
4.67,3.41,1.19,-0.23,setosa
5.06,3.44,1.66,-0.07,setosa
5.0,3.38,1.05,0.36,setosa
5.1,4.12,1.56,0.16,setosa
5.37,3.46,1.77,0.09,setosa
5.07,3.71,1.71,0.24,setosa
4.68,3.53,1.52,0.42,setosa
5.06,3.73,1.48,0.26,setosa
5.2,3.07,1.38,0.05,setosa
5.59,3.37,1.7,0.39,setosa
4.92,2.93,1.79,0.08,setosa
5.22,3.01,1.37,0.58,setosa
5.43,3.01,1.1,0.19,setosa
5.22,3.45,1.59,-0.1,setosa
5.18,3.74,1.37,-0.23,setosa
4.77,3.63,0.98,0.17,setosa
4.7,3.36,1.43,0.2,setosa
5.45,3.53,1.9,0.16,setosa
4.86,3.51,0.65,0.19,setosa
5.05,3.03,1.64,0.03,setosa
4.26,3.34,1.21,0.04,setosa
4.95,3.78,1.53,0.19,setosa
5.12,2.86,1.87,-0.12,setosa
5.13,3.06,1.21,0.08,setosa
5.57,3.61,1.32,0.11,setosa
4.65,3.39,1.33,0.42,setosa
4.59,3.3,1.25,-0.02,setosa
5.21,3.44,1.68,0.56,setosa
5.34,2.99,1.66,-0.33,setosa
4.98,3.98,1.44,0.09,setosa
5.05,3.41,1.51,-0.03,setosa
5.32,3.67,1.44,0.29,setosa
5.2,3.71,1.62,0.41,setosa
4.92,3.08,1.35,0.51,setosa
5.29,3.44,1.33,0.29,setosa
5.5,3.81,1.29,0.19,setosa
4.56,3.06,1.56,0.21,setosa
5.29,3.78,1.75,0.6,setosa
4.84,3.06,1.65,1.0,setosa
5.11,3.05,1.57,0.63,setosa
4.69,3.64,1.32,0.58,setosa
5.24,3.49,2.1,0.08,setosa
4.79,3.96,1.24,0.86,setosa
4.99,3.09,1.5,0.24,setosa
5.06,3.34,1.82,-0.5,setosa
4.83,3.32,2.05,-0.4,setosa
4.9,3.06,1.3,0.39,setosa
5.12,3.83,1.32,0.28,setosa
5.35,3.67,1.4,0.54,setosa
5.72,3.34,4.55,1.47,versicolor
6.08,3.05,5.02,1.46,versicolor
5.89,2.98,4.24,0.99,versicolor
6.25,2.69,4.84,1.19,versicolor
5.13,2.88,4.55,1.98,versicolor
6.16,2.89,4.68,1.39,versicolor
6.02,2.39,4.66,1.26,versicolor
5.87,3.01,4.77,1.2,versicolor
6.6,2.62,4.75,1.79,versicolor
6.07,2.85,5.04,1.77,versicolor
6.13,2.25,4.28,1.85,versicolor
6.06,2.51,4.31,1.41,versicolor
6.21,2.92,4.8,1.25,versicolor
6.3,2.65,4.41,2.02,versicolor
6.02,2.76,4.44,1.38,versicolor
6.47,3.21,4.72,1.56,versicolor
6.31,2.78,4.64,1.62,versicolor
6.03,3.29,5.03,1.9,versicolor
5.43,3.35,4.71,1.36,versicolor
5.99,3.14,4.85,1.76,versicolor
6.04,2.81,4.75,1.47,versicolor
5.73,2.61,4.46,1.6,versicolor
6.68,2.39,4.64,1.47,versicolor
6.09,3.21,4.87,1.45,versicolor
5.83,2.39,4.48,1.87,versicolor
5.92,3.01,4.71,1.62,versicolor
6.33,2.77,4.25,1.15,versicolor
6.28,2.69,4.41,1.75,versicolor
5.76,3.33,4.7,1.34,versicolor
5.81,3.12,4.14,1.31,versicolor
6.0,2.86,4.5,1.62,versicolor
5.89,2.76,4.88,1.69,versicolor
5.87,3.31,3.9,1.53,versicolor
6.2,3.09,4.53,1.38,versicolor
6.18,2.74,4.64,0.64,versicolor
6.11,2.56,4.78,1.72,versicolor
6.22,2.68,4.63,1.4,versicolor
6.06,2.76,4.24,2.09,versicolor
