len,supp,dose
15.01,VC,0.5
6.01,VC,0.5
9.18,VC,0.5
8.44,VC,0.5
10.51,VC,0.5
3.79,VC,0.5
6.76,VC,0.5
5.75,VC,0.5
4.78,VC,0.5
5.47,VC,0.5
15.46,VC,1.0
16.14,VC,1.0
14.28,VC,1.0
18.27,VC,1.0
15.36,VC,1.0
7.41,VC,1.0
20.57,VC,1.0
15.82,VC,1.0
14.77,VC,1.0
17.81,VC,1.0
26.69,VC,2.0
26.16,VC,2.0
23.44,VC,2.0
26.57,VC,2.0
21.39,VC,2.0
30.33,VC,2.0
22.2,VC,2.0
25.38,VC,2.0
26.06,VC,2.0
26.66,VC,2.0
12.26,OJ,0.5
14.45,OJ,0.5
2.1,OJ,0.5
12.3,OJ,0.5
12.13,OJ,0.5
11.31,OJ,0.5
17.2,OJ,0.5
9.68,OJ,0.5
12.36,OJ,0.5
6.5,OJ,0.5
23.43,OJ,1.0
17.72,OJ,1.0
17.88,OJ,1.0
29.71,OJ,1.0
24.73,OJ,1.0
22.58,OJ,1.0
23.12,OJ,1.0
18.25,OJ,1.0
19.42,OJ,1.0
23.89,OJ,1.0
19.19,OJ,2.0
26.43,OJ,2.0
20.34,OJ,2.0
25.97,OJ,2.0
22.23,OJ,2.0
30.93,OJ,2.0
28.69,OJ,2.0
24.03,OJ,2.0
19.85,OJ,2.0
23.22,OJ,2.0
