subgroup,fill_ml
1,499.87
1,502.28
1,498.83
1,497.33
1,500.43
2,501.0
2,500.65
2,500.86
2,499.92
2,499.21
3,498.98
3,499.8
3,499.56
3,501.53
3,501.07
4,498.25
4,501.2
4,500.11
4,501.84
4,502.42
5,501.0
5,497.47
5,501.14
5,497.8
5,502.53
6,499.17
6,499.88
6,502.92
6,497.49
6,500.21
7,498.54
7,499.38
7,498.95
7,501.2
7,499.71
8,500.69
8,501.14
8,497.57
8,502.29
8,499.79
9,497.65
9,499.17
9,501.49
9,501.69
9,499.12
10,500.33
10,500.54
10,501.74
10,499.97
10,501.66
11,498.81
11,499.07
11,501.19
11,501.28
11,500.1
12,501.1
12,500.49
12,501.35
12,501.95
12,500.97
13,501.43
13,499.57
13,499.32
13,496.58
13,500.8
14,500.22
14,500.99
14,497.31
14,499.43
14,499.32
15,497.42
15,501.56
15,502.04
15,498.23
15,500.85
16,502.81
16,498.32
16,501.69
16,502.61
16,503.03
17,498.09
17,498.55
17,500.5
17,502.02
17,498.25
18,499.02
18,498.47
18,501.87
18,499.32
18,501.05
19,501.17
19,501.96
19,500.82
19,500.7
19,501.95
20,500.91
20,498.24
20,499.35
20,501.57
20,500.39
21,501.63
21,502.55
21,507.27
21,502.1
21,502.92
22,502.88
22,501.76
22,504.01
22,503.49
22,502.79
23,500.1
23,504.11
23,503.35
23,502.05
23,498.03
24,502.09
24,500.31
24,501.82
24,501.39
24,500.9
25,503.73
25,502.35
25,504.08
25,500.69
25,501.88
